"IDNO"	"KING"	"FAMI"	"ENGT"
3	"B"	"Annonaceae"	"annona, mangrove"
7	"B"	"Acanthaceae"	"holly"
9	"B"	"Verbenaceae"	"mangrove, Indian"
10	"B"	"Rhizophoraceae"	"mangrove"
13	"B"	"Lamiaceae"	"sage"
14	"B"	"Euphorbiaceae"	"blind-your-eyes"
17	"B"	"Parkeriaceae"	"fern"
18	"B"	"Asteraceae"	"chamomile, ox-eye"
19	"B"	"Myrtaceae"	"cajeput tree"
20	"Z"	"Cyprinidae"	"carp, common"
21	"B"	"Pinaceae"	"spruce, Himalayan"
22	"Z"	"Cichlidae"	"tilapia, Nile"
23	"B"	"Azollaceae"	"water fern"
25	"Z"	"Clariidae"	"catfish, Gunther's walking"
27	"Z"	"Cyprinidae"	"carp, small-scale mud"
28	"Z"	"Ophiocephalidae"	"snakehead, ?"
29	"Z"	"Ophiocephalidae"	"snakehead, striped"
30	"Z"	"Anabantidae"	"climbing perch, common"
31	"Z"	"Clariidae"	"catfish"
32	"Z"	"Centropomidae"	"sea perch, giant"
33	"Z"	"Rhinolophidae"	"bat, Pearson's horseshoe"
34	"Z"	"Suidae"	"pig, common wild"
35	"Z"	"Felidae"	"jackal, golden"
36	"Z"	"Felidae"	"leopard"
37	"Z"	"Cercopithecidae"	"macaque, stump-tailed"
38	"Z"	"Hystricidae"	"porcupine"
39	"Z"	"Felidae"	"cat, leopard"
40	"Z"	"Leopridae"	"hare, common"
41	"B"	"Mimosaceae"	"wattle, Australian"
42	"B"	"Mimosaceae"	"acacia, ?"
45	"Z"	"Bovidae"	"kouprey"
46	"Z"	"Phasianidae"	"peafowl, green"
47	"Z"	"Bovidae"	"buffalo, wild water"
49	"Z"	"Varanidae"	"monitor, water"
50	"Z"	"Crocodylidae"	"crocodile, freshwater"
52	"Z"	"Bovidae"	"banteng"
53	"Z"	"Columbidae"	"pigeon, little green"
55	"B"	"Casuarinaceae"	"casuarina"
56	"B"	"Lauraceae"	"cinnamon"
57	"B"	"Lauraceae"	"cinnamon"
58	"B"	"Illiciaceae"	"star anise"
59	"B"	"Myrtaceae"	"eucalyptus"
60	"B"	"Myrtaceae"	"eucalyptus, lemon-scented"
61	"B"	"Myrtaceae"	"eucalyptus, ?"
63	"B"	"Pinaceae"	"pine, two-leaved"
64	"B"	"Gramineae"	"lemon grass"
65	"B"	"Euphorbiaceae"	"cassava"
66	"B"	"Anacardiaceae"	"cashew"
67	"B"	"Coniferaceae"	"cedar, Himalayan"
68	"B"	"Arecaceae"	"rattan, thin"
69	"B"	"Arecaceae"	"rattan, thin"
70	"B"	"Arecaceae"	"rattan, thick"
71	"B"	"Arecaceae"	"rattan, thick"
73	"B"	"Theaceae"	"tea"
74	"B"	"Fagaceae"	"chestnut, ?"
77	"Z"	"Megalaimidae"	"barbet, great"
79	"B"	"Verbenaceae"	"teak"
83	"B"	"Meliaceae"	"mahogany, broad-leafed"
87	"B"	"Apiaceae"	"pennywort, India"
88	"B"	"Nymphaeaceae"	"water lily, blue"
92	"B"	"Moraceae"	"banyan"
94	"B"	"Cupressaceae"	"cypress, Himalayan"
95	"B"	"Rosaceae"	"loquat"
99	"Z"	"Trionychidae"	"turtle, Chinese soft-shelled"
100	"Z"	"Elapidae"	"cobra, Asiatic"
101	"Z"	"Elapidae"	"krait, banded"
102	"Z"	"Elapidae"	"cobra, king"
103	"B"	"Salviniaceae"	"water fern"
104	"B"	"Annonaceae"	"soursop"
106	"B"	"Piperaceae"	"pepper"
107	"B"	"Piperaceae"	"betel"
111	"B"	"Clusiaceae"	"mangosteen"
112	"B"	"Clusiaceae"	"Borneo mahogany"
116	"B"	"Tiliaceae"	"jute, white"
117	"B"	"Malvaceae"	"cotton rose"
118	"B"	"Malvaceae"	"kenaf"
119	"B"	"Malvaceae"	"hibiscus"
120	"B"	"Malvaceae"	"mallow, musk"
121	"B"	"Bombacaceae"	"kaput"
122	"B"	"Bombacaceae"	"durian"
123	"B"	"Sterculiaceae"	"cocoa"
125	"B"	"Euphorbiaceae"	"Malay gooseberry"
126	"B"	"Euphorbiaceae"	"asin-asin"
127	"B"	"Euphorbiaceae"	"castor bean"
128	"B"	"Euphorbiaceae"	"sandbox tree"
129	"B"	"Euphorbiaceae"	"spurge tree, Malay"
130	"B"	"Euphorbiaceae"	"poinsettia"
133	"B"	"Passifloraceae"	"granadilla"
134	"B"	"Plumbaginaceae"	"sea lavender"
135	"B"	"Cucurbitaceae"	"gourd, wax"
136	"B"	"Cucurbitaceae"	"water melon"
137	"B"	"Cucurbitaceae"	"cucumber"
138	"B"	"Cucurbitaceae"	"gourd, bottle"
139	"B"	"Cucurbitaceae"	"bitter gourd"
141	"B"	"Cucurbitaceae"	"pumpkin"
142	"B"	"Cucurbitaceae"	"gourd, ridged"
143	"B"	"Cucurbitaceae"	"gourd, rag"
144	"B"	"Caricaceae"	"papaya"
146	"B"	"Brassicaceae"	"mustard, Chinese"
149	"B"	"Amaranthaceae"	"cock's comb, red"
150	"B"	"Amaranthaceae"	"celocia"
151	"B"	"Amaranthaceae"	"spinach, prickly"
152	"B"	"Basellaceae"	"spinach, Ceylon"
153	"B"	"Nyctaginaceae"	"four-o-clock plant"
154	"B"	"Nyctaginaceae"	"paper flower"
155	"Z"	"Syngnathidae"	"seahorse, Kellog's"
156	"B"	"Portulacaceae"	"sundane"
158	"B"	"Oxalidaceae"	"star fruit"
160	"B"	"Malpighiaceae"	"cherry, West Indian"
162	"B"	"Sterculiaceae"	"sterculia, great"
163	"B"	"Lauraceae"	"camphor tree"
164	"B"	"Sapindaceae"	"longan"
165	"B"	"Sapindaceae"	"rambutan"
166	"B"	"Meliaceae"	"neem"
168	"B"	"Meliaceae"	"Persian lilac"
169	"B"	"Rutaceae"	"orange"
170	"B"	"Rutaceae"	"shaddock"
171	"B"	"Rutaceae"	"lime"
173	"B"	"Cycadaceae"	"cycas"
174	"B"	"Rutaceae"	"kumquat, Marumi"
175	"B"	"Rutaceae"	"orange"
176	"B"	"Anacardiaceae"	"mango"
177	"B"	"Anacardiaceae"	"June plum"
178	"B"	"Nymphaeaceae"	"water lily, red"
179	"B"	"Nymphaeaceae"	"water lily, wild"
180	"B"	"Rutaceae"	"orange, mandarin"
181	"B"	"Loranthaceae"	"mistletoe"
182	"B"	"Amaranthaceae"	"calico plant, red"
183	"B"	"Crassulaceae"	"air plant"
184	"B"	"Crassulaceae"	"kalanchoe"
186	"B"	"Saxifragaceae"	"hortensia"
187	"B"	"Mimosaceae"	"sensitive plant"
189	"B"	"Mimosaceae"	"acacia, sweet"
190	"B"	"Mimosaceae"	"Madras thorn"
191	"B"	"Mimosaceae"	"rain tree"
192	"B"	"Sonneratiaceae"	"mangrove, crab-apple"
194	"B"	"Trapaceae"	"water chestnut"
195	"B"	"Pooideae"	"bamboo"
198	"B"	"Apiaceae"	"eryngo"
199	"B"	"Pedaliaceae"	"sesame"
200	"B"	"Moraceae"	"breadfruit"
201	"B"	"Moraceae"	"fack tree"
202	"B"	"Moraceae"	"fig, cluster"
203	"B"	"Moraceae"	"peepul tree"
204	"B"	"Oleaceae"	"jasmine, Arabian"
205	"B"	"Sapotaceae"	"milkfruit"
206	"B"	"Sapotaceae"	"sapotillo"
207	"B"	"Sapotaceae"	"lucuma"
